event_id,user_id,event_type,ts,value
e-1001,u-401,page_view,2026-07-01T08:12:04+00:00,0
e-1002,u-402,signup,2026-07-01T08:15:31+00:00,0
e-1003,u-401,purchase,2026-07-01T09:02:11+00:00,49.99
e-1004,u-403,api_call,2026-07-01T09:30:00,1
e-1005,u-404,page_view,2026-07-01T10:44:52+00:00,0
e-1003,u-401,purchase,2026-07-01T09:02:11+00:00,49.99
e-1006,u-405,click,2026-07-01T11:00:00+00:00,0
e-1007,u-402,purchase,2026-07-01T14:21:09+00:00,19.50
e-1008,u-406,page_view,2026-07-01T16:05:47+00:00,0
e-1009,u-403,api_call,2026-07-01T18:40:22+00:00,3
